prompt,C,E,D,B,A,answer
How many retail outlets are there in Dolphin Mall?,Over 300,Over 100,Over 240,Over 150,Over 200,D
What is Anton Alekseyevich Shitov's position in the football field?,Striker,Goalkeeper,Defender,Substitute,Midfielder,D
"What is the purpose of the Midway Mall in Natal, Brazil?",A national park preserving the biodiversity of the region.,A historical site featuring architectural landmarks and monuments.,A university campus offering a variety of academic programs.,A shopping center providing various retail outlets and entertainment facilities.,A cultural center hosting art exhibitions and music concerts.,B
"What is the approximate distance of Edenham village from Bourne, Lincolnshire?",7 miles (11 km),9 miles (14 km),3 miles (5 km),5 miles (8 km),1 mile (1.6 km),D
"In what section was the film ""River's Edge"" screened at the 68th Berlin International Film Festival?",Forum,Panorama,Special Screening,Official Competition,Generation,E
"What was the purpose behind Juju releasing the album ""What's Love?"" under the label Sony Music Associated Records?",Juju released the album under Sony Music Associated Records to experiment with a different musical style.,The album was released under Sony Music Associated Records due to a contractual agreement with the label.,The album was released under Sony Music Associated Records as part of a collaboration with other artists.,Juju released the album under Sony Music Associated Records to commemorate a significant milestone in her career.,Juju released the album under Sony Music Associated Records to promote her music internationally.,E
"Who was the famous author of the novel ""To Kill a Mockingbird""?",Harper Lee,F. Scott Fitzgerald,Jane Austen,William Shakespeare,Mark Twain,C
What was the primary reason for the Lockheed R6V Constitution's limited operational success?,The Constitution had insufficient cargo capacity compared to other transport aircraft of the time.,The Constitution was underpowered and too large for practical airline use.,"The Constitution's design lacked stability, making it difficult to control during flight.",The Constitution had structural weaknesses that compromised its safety in flight.,The Constitution was prone to mechanical failures and required constant maintenance.,E
What was the historical significance of Llangynwyd in the medieval period?,"Llangynwyd was a village located in the county borough of Bridgend, Wales, known for being a key trading hub between Wales and England during the medieval period.","Llangynwyd, part of the medieval commote of Tir Iarll, served as a strategic military outpost, defending the region against invasions during the medieval period.","Llangynwyd, historically known as a center of agricultural productivity, provided sustenance to the local population and played a vital role in the economic prosperity of the region during the medieval period.","Llangynwyd, a village with its roots traced back to the medieval period, was home to a renowned bardic school that fostered the growth of Welsh literature and culture.","Llangynwyd, situated 2 miles south of Maesteg, was a village that played a crucial role in the development of early Christianity in Wales during the medieval period.",E
"Who is the Greek mythological figure known for fighting for Troy during the Trojan War, as mentioned in the Wikipedia excerpt?",Hector,Odysseus,Paris,Achilles,Dolon,A
What was the box office result of the film Lok Parlok?,"The film was a box office flop, failing to attract audiences and resulting in significant financial losses.","The film had a limited release and did not have a wide theatrical run, making it difficult to determine its box office outcome.","The film was a blockbuster hit at the box office, exceeding expectations and gaining enormous commercial success.",The film was not released in theaters and had a direct-to-video release instead.,"The film was a moderate success at the box office, performing reasonably well in terms of revenue.",C
What is the Amtrak Hudson Line?,"The Amtrak Hudson Line is a railroad line owned by Amtrak in the U.S. state of New York, running from Poughkeepsie to New York City along the east shore of the Hudson River.","The Amtrak Hudson Line is a railroad line owned by Amtrak in the U.S. state of New York, running from Poughkeepsie to Hoffmans via Albany and Schenectady.","The Amtrak Hudson Line is a railroad line owned by CSX Transportation and leased by Amtrak in the U.S. state of New York, running from Rensselaer to Albany and northwest to Hoffmans via Schenectady.","The Amtrak Hudson Line is a railroad line owned by CSX Transportation and leased by Amtrak in the U.S. state of New York, running from Poughkeepsie to Albany and northwest to Hoffmans via Rensselaer.","The Amtrak Hudson Line is a railroad line owned by CSX Transportation and leased by Amtrak in the U.S. state of New York, running from Poughkeepsie to Rensselaer along the east shore of the Hudson River.",A
"What is the premise of the British drama series ""Thomas & Sarah""?","""Thomas & Sarah"" is a series about a detective and his loyal sidekick solving crimes in Victorian England.","""Thomas & Sarah"" is a series about the lives of a married couple living in a bustling city in the 1920s.","""Thomas & Sarah"" is a series focused on the medical profession, chronicling the ups and downs of a dedicated group of doctors and nurses.","""Thomas & Sarah"" is a series about a brother and sister who inherit a haunted mansion in the English countryside.","""Thomas & Sarah"" is a series about the daily lives and adventures of two characters from the BAFTA Award-winning series Upstairs, Downstairs.",A
Who was Pierre Richard-Willm?,Pierre Richard-Willm was a French stage and film actor during the 1930s and 1940s.,Pierre Richard-Willm was a French writer known for his contributions to French literature during the 1930s and 1940s.,Pierre Richard-Willm was a renowned French chef who gained recognition for his culinary skills during the 1930s and 1940s.,Pierre Richard-Willm was a German stage and film actor during the 1930s and 1940s.,Pierre Richard-Willm was a French tennis player who achieved great success in the sport during the 1930s and 1940s.,C
"What can be said about the EP ""Quantity Is Job 1"" by Five Iron Frenzy, based on the provided Wikipedia excerpt?","""Quantity Is Job 1"" was released on November 3, 1998, and it marked the debut EP of Five Iron Frenzy, featuring their first commercially successful single.","""Quantity Is Job 1"" was released on November 3, 1998, and it was the second EP released by Five Iron Frenzy, following their debut album.","""Quantity Is Job 1"" was released on November 3, 1998, and it consisted of a compilation of songs from various artists signed to Five Minute Walk record label.","""Quantity Is Job 1"" was released on November 3, 1998, and it was a live recording of Five Iron Frenzy's concert held at the Five Minute Walk studio.","""Quantity Is Job 1"" was released on November 3, 1998, and it featured five tracks that were all written by the band Five Iron Frenzy.",A
Who is Valero Rivera López?,A Spanish football coach for the Qatari national team.,A Spanish basketball coach for the Qatari national team.,A Spanish handball coach for the Qatari national team.,A Spanish tennis coach for the Qatari national team.,A Spanish volleyball coach for the Qatari national team.,D
"Which label released Jerry Douglas' fifth solo album, Plant Early?",Capitol Records,MCA,Warner Bros.,None of the above,Columbia,E
What is Indian Hill House known for?,"Indian Hill House is a private residence named after its designer, Maurice K. Smith.",Indian Hill House is a historical site celebrated for its rich cultural heritage and significance.,Indian Hill House is a public landmark known for its unique architectural design.,"Indian Hill House is a private residence named after Ralph S. Osmond & Sons, the builders of the house.","Indian Hill House is a private residence located in the Indian Hills of Groton, Massachusetts.",A
"When was the album ""Bodysong"" by Jonny Greenwood released?","October 27, 2003 in the UK and February 24, 2004 in the United States.","October 24, 2003 in the UK and February 27, 2004 in the United States.","October 24, 2004 in the UK and February 27, 2003 in the United States.","October 28, 2003 in the UK and February 23, 2004 in the United States.","October 27, 2004 in the UK and February 24, 2003 in the United States.",C
What is the significance of the Cicero station on the Chicago Transit Authority's 'L' system?,The Cicero station is located in the Austin neighborhood on Chicago's West side.,"The Cicero station opened on March 3, 1894, making it one of the oldest stations on the 'L' system.","The Cicero station was named after the famous Roman statesman and philosopher, Cicero.",The Cicero station is 24 blocks east and 2 blocks north of Harlem.,The Cicero station is the last stop on the Green Line before reaching the Chicago Loop.,A
What record label did Kendrick Lamar sign a recording contract with in 2005?,Atlantic Records,Warner Music Group,Interscope Records,Def Jam Recordings,Top Dawg Entertainment (TDE),A
Which department is Santa Lucía del Este located in?,"Santa Lucía del Este is located in Rocha Department, Uruguay.","Santa Lucía del Este is located in Soriano Department, Uruguay.","Santa Lucía del Este is located in San José Department, Uruguay.","Santa Lucía del Este is located in Lavalleja Department, Uruguay.","Santa Lucía del Este is located in Canelones Department, Uruguay.",A
What is the history and location of St. Charles Garnier College?,"St. Charles Garnier College is a public high school in Quebec City, Quebec, established by the Government of Quebec in 1930.","St. Charles Garnier College is a private secondary school in Quebec City, Quebec, established in 1930 by the Society of Jesus, attached to the Manresa Spirituality Centre.","St. Charles Garnier College is a public high school in Montreal, Quebec, established by the Government of Quebec in 1930.","St. Charles Garnier College is a private secondary school in Quebec City, Quebec, established by the Society of Jesus in 1634 with its current location on Boulevard René-Lévesque near Laval University.","St. Charles Garnier College is a private secondary school in Montreal, Quebec, established in 1930 by the Society of Jesus after a previous Jesuit college was founded in 1634.",B
What prestigious awards and honors has Frieder Bernius received throughout his career?,"The Gold Medal of the Royal Philharmonic Society (1990), the National Medal of Arts from the United States Government (1990), and the title of Honorary Doctor of Music from Harvard University (1993).","The Mercury Prize (1990), the Juno Award for Classical Album of the Year (1990), and a star on the Hollywood Walk of Fame (1993).","The Edison Award (1990), the Diapason d'Or (1990), and the Order of Merit of the Federal Republic of Germany (1993).","The Young Artist Award from the National Academy of Recording Arts and Sciences (1990), the UNESCO International Music Prize (1990), and the Polar Music Prize from the Royal Swedish Academy of Music (1993).","The Pulitzer Prize in Music (1990), the Grammy Award for Best Conductor (1990), and the Kennedy Center Honor (1993).",D
"Which of the following statements is true about the historical significance of the Princess Theatre in Launceston, Tasmania?",The Princess Theatre is an abandoned and dilapidated building with no historical importance.,"The Princess Theatre is a significant historical landmark in Launceston, representing the rich cultural heritage of the city.","The Princess Theatre is a popular comedy club in Launceston, hosting regular stand-up comedy shows.",The Princess Theatre is a multipurpose venue primarily used for sports events and exhibitions.,The Princess Theatre is a modern theatre known for its cutting-edge technology and contemporary performances.,E
What was Simon de Wit known for in Dutch society?,Simon de Wit was a Dutch rower who represented the country in international competitions.,Simon de Wit was a well-known journalist and had a successful career in media.,Simon de Wit was a renowned artist known for his contributions to the Dutch art scene.,Simon de Wit served as the chief executive of a popular supermarket chain.,Simon de Wit was a prominent politician and held a high-ranking position in the government.,B
What is the population of Frederick County according to the 2020 U.S. census?,"The population of Frederick County is 271,717.","The population of Frederick County is 280,000.","The population of Frederick County is 275,000.","The population of Frederick County is 250,000.","The population of Frederick County is 270,000.",C
When did Lycaenops live?,"Lycaenops lived during the Jurassic period, about 150 million years ago.","Lycaenops lived during the Triassic period, about 200 million years ago.","Lycaenops lived during the Cretaceous period, about 80 million years ago.","Lycaenops lived during the Early Permian period, about 300 million years ago.","Lycaenops lived during the Late Permian period, about 250 million years ago.",A
What is the significance of Hans Hendrik's contributions?,"Hans Hendrik's contributions involve establishing a settlement in Fiskenæsset, leading to the development of a thriving community in the southern region.","Hans Hendrik's contributions center around his role as a Kalaallit interpreter, facilitating communication between indigenous communities and European explorers.","Hans Hendrik's contributions primarily focus on his achievements as an Arctic explorer, mapping uncharted territories and discovering new land formations.","Hans Hendrik's contributions primarily involve his advocacy for indigenous rights, leading to significant policy changes and improved living conditions for indigenous populations.","Hans Hendrik's contributions include being the first Inuk to publish an account of his travels, providing valuable insights into Arctic exploration and indigenous perspectives.",A
Which subgenus is Jaspidiconus a part of?,"Jaspidiconus is a subgenus of sea snails, marine gastropod mollusks in the genus Gyroscala, family Epitoniidae, the wentletraps and their allies.","Jaspidiconus is a subgenus of sea snails, marine gastropod mollusks in the genus Buccinulum, family Buccinidae, the true whelks and their allies.","Jaspidiconus is a subgenus of sea snails, marine gastropod mollusks in the genus Conasprella, family Conidae, the cone snails and their allies.","Jaspidiconus is a subgenus of sea snails, marine gastropod mollusks in the genus Endoptygma, family Columbellidae, the dove snails and their allies.","Jaspidiconus is a subgenus of sea snails, marine gastropod mollusks in the genus Tritonoturris, family Mangeliidae, the drill snails and their allies.",D
What is Jean-Baptiste Rousseau particularly noted for?,Jean-Baptiste Rousseau was particularly noted for his accomplishments in the field of astronomy.,Jean-Baptiste Rousseau was particularly noted for his skills in architecture and innovative building designs.,Jean-Baptiste Rousseau was particularly noted for his cynical epigrams as a playwright and poet.,Jean-Baptiste Rousseau was particularly noted for his contributions to scientific research in the field of botany.,Jean-Baptiste Rousseau was particularly noted for his proficiency in various musical instruments.,D
What is Giovanna Fletcher most well-known for?,Giovanna Fletcher is most well-known for her critically acclaimed books.,Giovanna Fletcher is most well-known for her career in blogging and podcasting.,Giovanna Fletcher is most well-known for winning the 20th series of I'm a Celebrity...Get Me Out of Here!.,Giovanna Fletcher is most well-known for her acting career.,Giovanna Fletcher is most well-known for her presenting role on The Baby Club.,D
In which political party is Jan Arild Ellingsen involved?,Conservative Party,Green Party,Progress Party,Labour Party,Socialist Left Party ,D
What is Frederic Count de Thoms known for?,Frederic Count de Thoms was an art collector who wrote a biography of Louis XIV of France and was secretary to King George I of Great Britain.,Frederic Count de Thoms was a Dutch philosopher known for his groundbreaking theories in metaphysics.,Frederic Count de Thoms was a famous German painter renowned for his landscape artworks.,Frederic Count de Thoms was a German composer celebrated for his symphonies and operas.,Frederic Count de Thoms was a prominent Italian diplomat who negotiated treaties with several European countries.,C
"What is the population of Bansalan, a municipality in the province of Davao del Sur, Philippines, based on the 2020 census?","100,346","62,737","49,964","75,824","84,512",E
"What were the titles and positions held by Michel Le Tellier, marquis de Barbezieux, seigneur de Chaville et de Viroflay?","Michel Le Tellier held the title of marquis de Barbezieux, as well as the positions of seigneur de Chaville et de Viroflay.","Michel Le Tellier held the title of marquis de Barbezieux, and held the position of seigneur de Chaville.","Michel Le Tellier held the title of marquis de Barbezieux, but did not hold any other titles or positions.","Michel Le Tellier held the positions of seigneur de Chaville et de Viroflay, but did not hold the title of marquis de Barbezieux.","Michel Le Tellier held the titles of seigneur de Chaville et de Viroflay, but did not hold the title of marquis de Barbezieux.",C
In which township is the historic Christdala Evangelical Swedish Lutheran Church located?,Rice Township,Christdala Township,Millersburg Township,Forest Township,Northfield Township,B
How did the Nordlandshest/Lyngshest horse breed get its name?,The name Nordlandshest/Lyngshest was disputed by breeders in Lyngen and surrounding areas.,The name Nordlandshest/Lyngshest was a hotly disputed compromise between breeders in Nordland and Lyngen.,The name Nordlandshest/Lyngshest was changed to Lyngen horse by breeders in Lyngen.,The name Nordlandshest/Lyngshest was given to the breed by breeders in Lyngen and surrounding areas.,The name Nordlandshest/Lyngshest was given to the breed by breeders in Nordland.,D
"What is the focus of the American reality TV series ""Mrs. Eastwood & Company""?",The show explores the love life of Dina Eastwood after divorcing Clint Eastwood.,The show documents the professional journey of Dina Eastwood as a talented singer.,"The show revolves around the daily life of Dina Eastwood, then-wife of Clint Eastwood, and their daughters.","The show showcases the six-person a cappella group Overtone, whom Dina Eastwood manages.",The show follows the Eastwoods' efforts to build a luxurious mansion in Carmel-by-the-Sea.,B
What is the main distinguishing characteristic of members of the genus Lepraria?,"Members of the genus Lepraria have a granular, caked up, mealy dust grain-like appearance.",Members of the genus Lepraria have sexual structures that aid in their reproduction.,Members of the genus Lepraria possess a thallus composed of patches of soredia.,Members of the genus Lepraria have a complex morphology and a distinct absence of lichen products.,Members of the genus Lepraria have a vegetative body consisting of patches of lobes.,D
What international football tournaments did Vladimir Borisovich Gabulov participate in?,"Gabulov participated in UEFA Nations League 2018-2019, Copa America 2019, and 2019 FIFA Women's World Cup.","Gabulov participated in Euro 2008, 2017 FIFA Confederations Cup, and 2018 FIFA World Cup.","Gabulov participated in FIFA World Cup 2006, UEFA Euro 2004, and CONCACAF Gold Cup 2017.","Gabulov participated in FIFA World Cup 2010, Euro 2012, and 2016 FIFA Club World Cup.","Gabulov participated in Copa America 2015, African Cup of Nations 2017, and 2019 AFC Asian Cup.",E
Where is the Irreecha festival celebrated in Ethiopia?,Addis Ababa,"Southern Nations, Nationalities, and Peoples' Region",Amhara Region,Oromia Region,Tigray Region,B
What made the fourth running of the Milan–San Remo cycling race gain a place in cycling legend?,"The race was run in dreadful weather, with riders needing to seek refuge in houses along the roads due to a severe snowstorm.",The race took place on 3 April 1910.,The race was known for its challenging terrain and elevation changes.,Only four out of 63 riders managed to finish the race.,"The race was won by Eugène Christophe, a Frenchman, who finished more than one hour ahead of his first pursuers.",A
What was the primary intention behind the use of the double A-side format by Boney M. for their singles?,"The double A-side format was used to maximize the length of the single by including two songs, providing more value to the consumer.",The double A-side format was used to showcase rarely performed songs that were featured only on promotional releases.,The double A-side format was used to showcase the versatility of their musical style by featuring contrasting songs on the same release.,The double A-side format was used to increase the chances of chart success by releasing multiple songs simultaneously.,The double A-side format was used to have one song intended for radio and another specifically targeted at discos.,A
Who was Sir Charles Ernest Hercus?,Sir Charles Ernest Hercus was a British doctor and professor of public health.,Sir Charles Ernest Hercus was an American doctor and professor of public health.,Sir Charles Ernest Hercus was an Australian doctor and professor of public health.,Sir Charles Ernest Hercus was a Canadian doctor and professor of public health.,Sir Charles Ernest Hercus was a New Zealand doctor and professor of public health.,A
"Which telecommunications company owns Gambit Esports, an inactive Russian esports organization?",T-Mobile,MTS,Verizon,AT&T,Vodafone,E
What is Iduma Igariwey Enwo known for?,"Iduma Igariwey Enwo is known for his outstanding contributions to the field of renewable energy technology, with numerous patents and inventions under his name.","Iduma Igariwey Enwo is known for his philanthropic efforts, having founded and funded multiple charitable organizations aimed at improving education and healthcare in underserved communities.","Iduma Igariwey Enwo is known for being a Nigerian lawyer and politician, currently serving as a member of the House of Representatives, representing Afikpo North/Afikpo South federal constituency.","Iduma Igariwey Enwo is known for his contributions to the field of medicine, particularly in the area of cardiovascular research.","Iduma Igariwey Enwo is known for his achievements in the world of professional sports, having represented Nigeria in multiple Olympic Games.",D
What is the Optare Olympus?,"The Optare Olympus is a double-decker bus built by Optare, available on Alexander Dennis Enviro400, Volvo B9TL or Scania N230UD/N270UD chassis.","The Optare Olympus is a compact electric vehicle developed by Optare, known for its energy efficiency and low emissions.","The Optare Olympus is a single-decker bus built by Optare, available on Alexander Dennis Enviro400, Volvo B9TL or Scania N230UD/N270UD chassis.","The Optare Olympus is a high-speed train built by Optare, widely used for intercity transportation.","The Optare Olympus is a luxury car manufactured by Optare, available in both sedan and SUV models.",C
What is the occupation of Cristoforo Coriolano based on his description as a German engraver of the Renaissance?,Cristoforo Coriolano was a German engraver known for his artistic engravings.,Cristoforo Coriolano was an English playwright renowned for his tragic plays.,Cristoforo Coriolano was an Italian composer famous for his Baroque music compositions.,Cristoforo Coriolano was a Spanish sculptor acclaimed for his bronze sculptures.,Cristoforo Coriolano was a French painter known for his realistic landscape paintings.,C
"When was the population of Gravette, Arkansas recorded as 3,547 according to the 2020 census?",2010,2020,2000,1990,None of the above.,E
Which Major League Baseball (MLB) teams has Fernando Antonio Abad previously played for?,"Houston Astros, Washington Nationals, Oakland Athletics, Minnesota Twins, Boston Red Sox","Houston Astros, Washington Nationals, Minnesota Twins, San Francisco Giants, Baltimore Orioles","Washington Nationals, Minnesota Twins, Boston Red Sox, San Francisco Giants, Baltimore Orioles","Washington Nationals, Oakland Athletics, Minnesota Twins, Boston Red Sox, San Francisco Giants","Houston Astros, Oakland Athletics, Boston Red Sox, San Francisco Giants, Baltimore Orioles",C
What is Bouzy-la-Forêt?,Bouzy-la-Forêt is a city in the Rhône-Alpes region of France known for its historical landmarks.,Bouzy-la-Forêt is a commune in the Loiret département in north-central France.,"Bouzy-la-Forêt is a coastal town in Brittany, France, known for its picturesque beaches and seafood cuisine.","Bouzy-la-Forêt is a small village located in the Alsace region of France, famous for its vineyards.","Bouzy-la-Forêt is an island off the coast of Corsica, France, known for its pristine natural beauty and hiking trails.",E
What is the architectural style of the Browne-Rafert House?,"The Browne-Rafert House is a Gothic Revival style home known for its pointed arches, spires, and intricate tracery.","The Browne-Rafert House is a Greek Revival style home characterized by its symmetrical design, pediments, and columns.","The Browne-Rafert House is a Prairie School style home influenced by Frank Lloyd Wright, with its low-pitched roofs, horizontal lines, and open floor plans.","The Browne-Rafert House is a Tudor Revival style home constructed of red brick. It features steeply pitched roofs, elaborately chimneys, and decorative half-timbering.","The Browne-Rafert House is an Arts and Crafts inspired dwelling constructed of Indiana limestone, with a hipped roof and wide overhanging eaves.",A
Where is Khwahan located?,"Khwahan is a town situated on the left bank of the Amu Darya River, near the border of Tajikistan.","Khwahan is a district located in the southern part of Badakhshan Province, north-eastern Afghanistan.",Khwahan is a town and the capital of Badakhshan Province in north-eastern Afghanistan.,"Khwahan is a city located in the Pamir Mountains, north-eastern Afghanistan.","Khwahan is a village situated on the right bank of the Panj River, subregions of Darwaz.",D
"What territories did the Province of Massachusetts Bay include, according to its charter?","Massachusetts Bay Colony, Province of Maine, Nova Scotia, and New Brunswick","Massachusetts Bay Colony, Province of Maine, and Martha's Vineyard","Massachusetts Bay Colony, Plymouth Colony, Province of Maine, Martha's Vineyard, Nantucket, Nova Scotia, and New Brunswick","Massachusetts Bay Colony, Nova Scotia, and New Brunswick","Massachusetts Bay Colony, Plymouth Colony, and Martha's Vineyard",D
"According to Michael Hurd, what is considered to be Sir Arthur Somervell's most important work?","Sir Arthur Somervell's most important work is his composition for orchestra, Symphony No. 1.","Sir Arthur Somervell's most important work is his ballet composition, ""The Enchanted Forest"".","Sir Arthur Somervell's most important work is his opera, ""The Cross of Fire"".","Sir Arthur Somervell's most important work is found in the five song cycles, particularly his settings of Tennyson in Maud (1898) and Housman in A Shropshire Lad (1904).","Sir Arthur Somervell's most important work is his chamber music composition, String Quartet in D minor.",B
What is the Bengali film Sasurbari Zindabad known for?,Sasurbari Zindabad is a Bengali film that received critical acclaim for its artistic direction and screenplay.,Sasurbari Zindabad is a Bengali film directed by Haranath Chakraborty and starring Prosenjit Chatterjee and Rituparna Sengupta.,Sasurbari Zindabad is a Bengali film that is a remake of the 1989 Telugu film Attaku Yamudu Ammayiki Mogudu.,Sasurbari Zindabad is a Bengali film that broke box-office records and became the highest grossing Bengali film in 2000.,Sasurbari Zindabad is a Bengali film that features a stellar ensemble cast.,B
In what areas did John Valentine Smith have influence?,"Sports, entertainment, and media.","Science, technology, and innovation.","Agriculture, finance, and trade.","Education, healthcare, and social services.","Literature, fashion, and art.",D
"When was the album ""Scale"" by Herbert released?","The album ""Scale"" was released on 15 April 2010.","The album ""Scale"" was released on 8 June 2012.","The album ""Scale"" was released on 29 May 2006.","The album ""Scale"" was released on 21 September 2007.","The album ""Scale"" was released on 4 March 2014.",D
What position did Enrique Peña Nieto hold before becoming the 64th president of Mexico?,Member of the Mexican Senate,Governor of the State of Mexico,Mayor of Mexico City,Secretary of Foreign Affairs,Secretary of Finance,E
"What is the significance of Pasay City West High School's location in Pasay, Philippines?","Pasay City West High School is the only public high school in Pasay, Philippines.","The school is known for its historical significance, dating back to the Spanish colonial era.","The school is known for its prime location, offering easy accessibility for students residing in Pasay.",The local community greatly values the educational opportunities provided by the school.,"It is situated on a popular tourist street, attracting visitors from all over the world.",D
What role did Milton Theodore Okun play in the music industry?,"Milton Theodore Okun was a renowned singer and conductor, known for his contributions to the classical music genre.","Milton Theodore Okun was an influential arranger, conductor, and record producer who transformed the careers of several major U.S. artists.","Milton Theodore Okun was primarily known for his work in the rock and heavy metal genres, producing successful albums for iconic bands.",Milton Theodore Okun was a record producer who worked exclusively with jazz artists during his career.,"Milton Theodore Okun was a music publisher and founder of Cherry Lane Music Publishing Company, Inc. ",E
What is the significance of the Huacrish mountain in the Andes of Peru?,Huacrish lies northeast of the mountain Auxilio and southeast of the Auxilio Lake.,Huacrish is part of the sub-range west of Yerupaja.,Huacrish is the highest peak in the Huayhuash mountain range.,"Huacrish is located in the Ancash Region, Bolognesi Province, Pacllon District.","Huacrish is located in the Lima Region, Cajatambo Province, Copa District.",E
How is Leucozonia tuberculata classified within the marine gastropod mollusks?,"Leucozonia tuberculata is classified as a species of sea snail in the family Volutidae, the volutes, the melongenids and allies.","Leucozonia tuberculata is classified as a species of sea snail in the family Cypraeidae, the cowries, the triviids and their allies.","Leucozonia tuberculata is classified as a species of sea snail in the family Turbinidae, the turban snails and their allies.","Leucozonia tuberculata is classified as a species of sea snail in the family Fasciolariidae, the spindle snails, the tulip snails and their allies.","Leucozonia tuberculata is classified as a species of sea snail in the family Olividae, the olives, the amaldivaricids and their allies.",B
Which of the following accurately describes Steve Di Giorgio's musical career?,Steve Di Giorgio is a classically trained musician who has focused on composing orchestral music for film soundtracks.,Steve Di Giorgio is a highly regarded bass guitarist recognized for his contributions to many heavy metal bands.,Steve Di Giorgio is a country music artist with a successful solo career and several chart-topping hits.,Steve Di Giorgio is a renowned jazz bassist known for his collaborations with various jazz ensembles and solo projects.,Steve Di Giorgio is a versatile musician primarily known for his skills on the drums and percussion instruments.,E
"What is the name of the small settlement in the eastern part of the Upper Carniola region of Slovenia, located in the hills north of Lukovica pri Domžalah?",Dupeljne,Slovenia,Domžale,Upper Carniola,Lukovica,C
Which province is Monte Pastello located in?,Province of Belluno,Province of Padua,Province of Venice,Province of Treviso,Province of Verona,A
What was the primary role of SM U-117 submarine in the Imperial German Navy?,"SM U-117 was a reconnaissance submarine, tasked with gathering intelligence on enemy naval activities.","SM U-117 was a submarine hunter, actively searching for and engaging enemy submarines.","SM U-117 was a long-range minelayer submarine, responsible for laying mines at strategic locations.","SM U-117 served as a coastal defense submarine, primarily operating in shallow waters.","SM U-117 served as a transport submarine, primarily used for the transportation of personnel and supplies.",D
"How many Macedonian Top 5 singles were released from Elena Risteska's album ""192""?",One,Two,Three,Four,None,D
What was the fate of the Liberal Forum political party in Austria?,The Liberal Forum party merged into NEOS – The New Austria in January 2014.,The Liberal Forum party merged into the Freedom Party of Austria in January 2014.,The Liberal Forum party was dissolved in January 2014.,The Liberal Forum party split into multiple new political parties in January 2014.,The Liberal Forum party remained active until February 1993.,C
Which professional basketball team does Luca Vitali currently play for?,Barcelona,Los Angeles Lakers,Pallacanestro Cantù,Golden State Warriors,CSKA Moscow,D
"According to the given Wikipedia excerpt, which of the following statements is true about Tyson Beckford?",Tyson Beckford is considered one of the most successful male actors in Hollywood.,Tyson Beckford is primarily known for his work as a rapper.,"Tyson Beckford is best known for his role in the movie ""Make Me a Supermodel.""",Tyson Beckford has worked exclusively as a Ralph Lauren Polo model.,Tyson Beckford has achieved fame and huge contracts similar to the female models of the 1990s.,A
What is the anabolic:androgenic ratio of Methoxydienone relative to testosterone propionate and nandrolone?,Approximately 54:27 relative to nandrolone and 90:625 relative to testosterone propionate.,Approximately 54:27 relative to testosterone propionate and 90:625 relative to nandrolone.,Approximately 27:54 relative to nandrolone and 625:90 relative to testosterone propionate.,Approximately 27:54 relative to testosterone propionate and 625:90 relative to nandrolone.,Approximately 90:625 relative to testosterone propionate and 54:27 relative to nandrolone.,E
What league does the Hamburg Sea Devils play in?,The European League of Football (ELF) in Europe.,The Canadian Football League (CFL) in Canada.,The Japanese X-League in Japan.,The National Football League (NFL) in the United States.,The Australian Football League (AFL) in Australia.,C
"How did Hazrat Shahjalal International Airport in Bangladesh get its IATA code ""DAC""?","The IATA code ""DAC"" is derived from the initials of the airport's previous name ""Dhaka Airbase and Center"".","The IATA code ""DAC"" is derived from the name ""Dacca International Airport"", which was the former name of the airport.","The IATA code ""DAC"" is derived from the word ""Dacca"", which is the previously used spelling for ""Dhaka"".","The IATA code ""DAC"" is derived from the abbreviation of the Bengali words ""Deshi Airfield Code"".","The IATA code ""DAC"" is derived from the airport's geographical coordinates: ""Dhaka Airport Coordinates"".",D
Where is Gyalideopsis buckii found?,Gyalideopsis buckii is found in Asia.,Gyalideopsis buckii is found in the United States.,Gyalideopsis buckii is found in Canada.,Gyalideopsis buckii is found in Europe.,Gyalideopsis buckii is found in South America.,E
What role did Donald Howe play in the English footballing game?,"Donald Howe played as a right back for clubs West Bromwich Albion and Arsenal, as well as the England national football team.",Donald Howe was a goalkeeper known for his acrobatic saves and reflexes.,Donald Howe was a midfielder known for his precise passing and vision on the field.,Donald Howe was a prolific goal scorer and held the record for the most goals scored in a single season.,Donald Howe was a forward known for his agility and finishing abilities.,C
What is known about Mansfield Tracy Walworth?,Mansfield Tracy Walworth was a prolific writer and successful author of several best-selling novels.,Mansfield Tracy Walworth was an influential politician and congressman in the state of New York.,Mansfield Tracy Walworth was a renowned scientist who made significant contributions to the field of physics.,Mansfield Tracy Walworth was a famous American painter known for his landscape artworks.,"Mansfield Tracy Walworth was an American writer who was born in 1830, married his step sister, and was murdered by his own son in 1873.",A
"What is the main theme of the album ""Night Divides the Day: The Music of the Doors"" by George Winston?",Classical music interpretations,Jazz-inspired covers,Rock band covers,Solo piano compositions,Original compositions inspired by The Doors,D
What is Brandon Renkart known for?,Brandon Renkart is a successful entrepreneur who has launched multiple startups in the tech industry.,Brandon Renkart is a renowned chef who has appeared on various cooking shows and competitions.,Brandon Renkart is a world-class piano player who has performed in prestigious concert halls around the globe.,Brandon Renkart is an acclaimed author who has written several bestselling novels in the thriller genre.,Brandon Renkart is a former American football linebacker who played for Rutgers in college and was a practice squad player for the New York Jets and Arizona Cardinals.,A
